"Table 1: Alcohol-specific age-standardised death rates, for English regions and constituent countries of the United Kingdom, 2001 to 2021 [note 2] [note 4] [note 6] [note 7] [note 8]",,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the 'Notes' worksheet.,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Sex,Year [note 3],Number of deaths,"Age-standardised rate per 100,000",Lower 95% confidence interval,Upper 95% confidence interval,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2001,96,7.8,6.3,9.5,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2001,165,14.3,12.1,16.5,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2001,261,10.9,9.6,12.2,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2002,76,6.1,4.8,7.7,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2002,185,15.8,13.5,18.1,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2002,261,10.8,9.5,12.1,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2003,110,8.8,7.2,10.5,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2003,187,16.0,13.7,18.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2003,297,12.2,10.9,13.6,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2004,112,9.0,7.3,10.6,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2004,221,18.8,16.3,21.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2004,333,13.7,12.2,15.1,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2005,102,8.1,6.6,9.7,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2005,210,17.5,15.1,19.8,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2005,312,12.7,11.3,14.1,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2006,105,8.3,6.7,9.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2006,237,19.6,17.1,22.1,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2006,342,13.7,12.3,15.2,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2007,133,10.4,8.6,12.1,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2007,236,19.4,16.9,21.9,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2007,369,14.8,13.3,16.3,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2008,141,11.0,9.2,12.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2008,259,21.5,18.8,24.1,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2008,400,16.1,14.5,17.7,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2009,122,9.5,7.8,11.2,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2009,233,18.9,16.4,21.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2009,355,14.1,12.6,15.6,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2010,117,9.0,7.4,10.7,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2010,256,20.7,18.1,23.2,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2010,373,14.7,13.2,16.2,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2011,126,9.7,8.0,11.3,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2011,253,20.4,17.9,23.0,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2011,379,14.9,13.4,16.4,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2012,114,8.7,7.1,10.3,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2012,198,16.1,13.8,18.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2012,312,12.2,10.9,13.6,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2013,123,9.4,7.7,11.0,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2013,238,19.0,16.6,21.5,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2013,361,14.0,12.6,15.5,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2014,169,12.9,11.0,14.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2014,261,20.9,18.4,23.4,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2014,430,16.8,15.2,18.4,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2015,159,12.0,10.2,13.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2015,264,21.1,18.6,23.7,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2015,423,16.4,14.9,18.0,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2016,140,10.4,8.7,12.2,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2016,275,21.9,19.3,24.5,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2016,415,16.0,14.4,17.5,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2017,146,11.1,9.3,12.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2017,253,20.1,17.6,22.6,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2017,399,15.5,13.9,17.0,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2018,143,10.7,9.0,12.5,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2018,268,21.3,18.7,23.8,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2018,411,15.8,14.3,17.4,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2019,151,11.2,9.4,13.0,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2019,286,22.5,19.9,25.1,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2019,437,16.6,15.1,18.2,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2020,197,14.9,12.8,17.0,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2020,325,25.6,22.8,28.4,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2020,522,20.0,18.3,21.8,,,,,,,,,,,,,,,,,
E12000001,North East,Females,2021,188,13.9,11.9,15.9,,,,,,,,,,,,,,,,,
E12000001,North East,Males,2021,353,27.4,24.5,30.3,,,,,,,,,,,,,,,,,
E12000001,North East,Persons,2021,541,20.4,18.7,22.2,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2001,278,8.6,7.6,9.6,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2001,517,17.1,15.6,18.6,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2001,795,12.7,11.8,13.5,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2002,277,8.6,7.5,9.6,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2002,524,17.2,15.8,18.7,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2002,801,12.7,11.8,13.6,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2003,280,8.6,7.6,9.6,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2003,585,18.6,17.1,20.1,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2003,865,13.5,12.6,14.4,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2004,329,10.0,8.9,11.1,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2004,595,19.0,17.4,20.5,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2004,924,14.3,13.4,15.3,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2005,328,9.8,8.8,10.9,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2005,613,19.2,17.6,20.7,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2005,941,14.4,13.5,15.3,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2006,348,10.4,9.3,11.5,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2006,608,19.0,17.5,20.5,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2006,956,14.6,13.6,15.5,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2007,361,10.8,9.7,12.0,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2007,687,21.5,19.9,23.1,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2007,1048,16.0,15.0,17.0,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2008,379,11.3,10.2,12.5,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2008,666,20.7,19.2,22.3,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2008,1045,15.9,14.9,16.9,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2009,351,10.3,9.3,11.4,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2009,671,20.5,18.9,22.0,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2009,1022,15.3,14.4,16.2,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2010,354,10.4,9.3,11.5,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2010,649,19.7,18.2,21.2,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2010,1003,14.9,14.0,15.9,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2011,348,10.1,9.1,11.2,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2011,703,21.1,19.6,22.7,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2011,1051,15.5,14.6,16.5,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2012,385,11.1,10.0,12.3,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2012,645,19.6,18.1,21.1,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2012,1030,15.2,14.3,16.2,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2013,329,9.5,8.5,10.5,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2013,656,19.7,18.2,21.2,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2013,985,14.5,13.6,15.4,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2014,369,10.6,9.5,11.7,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2014,685,20.5,19.0,22.1,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2014,1054,15.4,14.5,16.4,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2015,355,10.1,9.1,11.2,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2015,639,19.0,17.5,20.4,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2015,994,14.4,13.5,15.3,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2016,368,10.4,9.3,11.5,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2016,658,19.4,17.9,20.9,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2016,1026,14.8,13.9,15.7,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2017,378,10.7,9.6,11.7,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2017,674,19.8,18.3,21.4,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2017,1052,15.1,14.2,16.1,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2018,354,9.9,8.9,11.0,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2018,639,18.7,17.2,20.2,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2018,993,14.2,13.3,15.1,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2019,350,9.8,8.7,10.8,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2019,663,19.3,17.8,20.7,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2019,1013,14.4,13.5,15.3,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2020,416,11.7,10.6,12.8,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2020,795,23.0,21.4,24.6,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2020,1211,17.2,16.2,18.2,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2021,501,13.8,12.6,15.0,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2021,843,24.3,22.7,26.0,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2021,1344,18.9,17.9,19.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2001,119,5.0,4.1,5.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2001,260,11.5,10.1,12.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2001,379,8.2,7.3,9.0,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2002,118,4.9,4.1,5.8,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2002,247,11.1,9.7,12.6,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2002,365,7.9,7.1,8.7,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2003,139,5.8,4.8,6.8,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2003,316,13.9,12.3,15.4,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2003,455,9.7,8.8,10.6,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2004,160,6.7,5.7,7.7,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2004,329,14.4,12.9,16.0,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2004,489,10.5,9.5,11.4,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2005,131,5.4,4.5,6.3,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2005,369,16.0,14.4,17.7,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2005,500,10.6,9.6,11.5,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2006,174,7.1,6.1,8.2,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2006,383,16.5,14.8,18.1,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2006,557,11.6,10.6,12.6,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2007,182,7.4,6.3,8.5,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2007,350,14.7,13.2,16.3,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2007,532,11.0,10.1,11.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2008,159,6.4,5.4,7.5,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2008,387,16.2,14.6,17.8,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2008,546,11.2,10.3,12.1,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2009,176,7.0,6.0,8.0,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2009,365,15.2,13.6,16.7,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2009,541,11.0,10.0,11.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2010,167,6.6,5.6,7.6,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2010,385,15.6,14.0,17.2,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2010,552,11.0,10.1,11.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2011,218,8.6,7.5,9.7,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2011,397,16.2,14.6,17.8,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2011,615,12.3,11.3,13.3,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2012,182,7.1,6.1,8.2,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2012,383,15.4,13.8,16.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2012,565,11.2,10.2,12.1,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2013,215,8.4,7.2,9.5,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2013,390,15.6,14.1,17.2,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2013,605,12.0,11.0,12.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2014,177,6.9,5.8,7.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2014,398,15.9,14.4,17.5,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2014,575,11.3,10.4,12.2,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2015,212,8.2,7.1,9.3,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2015,370,14.9,13.4,16.4,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2015,582,11.4,10.5,12.4,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2016,195,7.5,6.4,8.5,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2016,422,16.6,15.0,18.2,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2016,617,11.9,11.0,12.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2017,234,8.9,7.8,10.1,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2017,475,18.7,17.0,20.4,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2017,709,13.7,12.7,14.7,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and the Humber,Females,2018,209,7.9,6.8,8.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and the Humber,Males,2018,401,15.7,14.1,17.2,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and the Humber,Persons,2018,610,11.7,10.8,12.6,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2019,245,9.2,8.1,10.4,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2019,485,18.8,17.2,20.5,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2019,730,13.9,12.9,14.9,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2020,271,10.2,8.9,11.4,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2020,529,20.7,18.9,22.4,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2020,800,15.3,14.2,16.3,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Females,2021,314,11.7,10.4,13.0,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Males,2021,563,21.9,20.1,23.7,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Persons,2021,877,16.7,15.6,17.8,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2001,98,5.0,4.0,6.1,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2001,207,10.6,9.2,12.1,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2001,305,7.7,6.9,8.6,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2002,118,5.8,4.8,6.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2002,214,11.2,9.7,12.7,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2002,332,8.4,7.5,9.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2003,111,5.4,4.4,6.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2003,236,12.3,10.7,13.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2003,347,8.6,7.7,9.6,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2004,150,7.3,6.1,8.5,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2004,211,10.9,9.4,12.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2004,361,9.0,8.0,9.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2005,124,5.9,4.9,6.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2005,247,12.5,10.9,14.1,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2005,371,9.1,8.1,10.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2006,136,6.3,5.3,7.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2006,258,12.6,11.0,14.1,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2006,394,9.4,8.5,10.3,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2007,148,6.9,5.8,8.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2007,267,13.2,11.6,14.8,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2007,415,9.9,8.9,10.8,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2008,145,6.8,5.7,7.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2008,318,15.3,13.6,17.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2008,463,10.9,9.9,11.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2009,149,6.8,5.7,7.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2009,289,13.5,11.9,15.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2009,438,10.1,9.1,11.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2010,143,6.4,5.4,7.5,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2010,332,15.5,13.8,17.2,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2010,475,10.9,9.9,11.8,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2011,144,6.5,5.4,7.5,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2011,313,14.5,12.9,16.1,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2011,457,10.4,9.5,11.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2012,140,6.2,5.1,7.2,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2012,289,13.2,11.7,14.7,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2012,429,9.6,8.7,10.5,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2013,167,7.4,6.2,8.5,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2013,319,14.7,13.1,16.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2013,486,11.0,10.0,11.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2014,162,7.1,6.0,8.2,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2014,308,13.9,12.3,15.5,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2014,470,10.4,9.5,11.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2015,167,7.2,6.1,8.3,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2015,317,14.3,12.7,15.8,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2015,484,10.6,9.7,11.6,,,,,,,,,,,,,,,,,
