"Table 1: Alcohol-specific age-standardised death rates, for English regions and constituent countries of the United Kingdom, 2001 to 2021 [note 2] [note 4] [note 6] [note 7] [note 8]",,,,,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2016,147,6.3,5.2,7.3,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2016,314,13.9,12.3,15.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2016,461,10.0,9.1,10.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2017,187,7.9,6.8,9.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2017,329,14.4,12.8,15.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2017,516,11.1,10.1,12.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2018,187,7.9,6.8,9.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2018,368,16.0,14.4,17.7,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2018,555,11.9,10.9,12.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2019,183,7.7,6.5,8.8,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2019,340,14.8,13.2,16.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2019,523,11.1,10.2,12.1,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2020,222,9.2,8.0,10.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2020,390,16.7,15.1,18.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2020,612,12.9,11.9,13.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2021,264,10.7,9.4,12.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2021,442,18.8,17.1,20.6,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2021,706,14.7,13.6,15.8,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2001,171,6.9,5.8,7.9,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2001,340,14.2,12.7,15.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2001,511,10.5,9.6,11.4,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2002,170,6.9,5.8,7.9,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2002,370,15.5,13.9,17.1,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2002,540,11.1,10.1,12.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2003,165,6.6,5.6,7.6,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2003,435,17.9,16.2,19.5,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2003,600,12.1,11.1,13.1,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2004,194,7.7,6.6,8.8,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2004,391,16.1,14.5,17.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2004,585,11.8,10.9,12.8,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2005,201,8.0,6.9,9.1,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2005,425,17.6,15.9,19.3,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2005,626,12.6,11.6,13.6,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2006,209,8.1,7.0,9.2,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2006,440,17.8,16.1,19.4,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2006,649,12.8,11.8,13.8,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2007,222,8.6,7.4,9.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2007,433,17.5,15.9,19.2,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2007,655,13.0,12.0,14.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2008,247,9.5,8.3,10.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2008,519,20.6,18.8,22.4,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2008,766,15.0,13.9,16.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2009,204,7.8,6.7,8.9,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2009,445,17.7,16.0,19.3,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2009,649,12.6,11.6,13.6,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2010,224,8.5,7.4,9.6,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2010,460,17.9,16.2,19.5,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2010,684,13.1,12.1,14.1,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2011,248,9.3,8.2,10.5,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2011,487,18.8,17.1,20.5,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2011,735,14.0,13.0,15.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2012,218,8.1,7.0,9.2,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2012,417,16.1,14.5,17.6,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2012,635,12.0,11.1,12.9,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2013,215,8.0,6.9,9.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2013,447,17.1,15.5,18.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2013,662,12.5,11.5,13.4,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2014,217,8.0,6.9,9.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2014,467,17.9,16.2,19.5,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2014,684,12.8,11.8,13.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2015,228,8.3,7.2,9.4,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2015,474,17.9,16.3,19.6,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2015,702,13.0,12.0,14.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2016,233,8.4,7.3,9.5,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2016,472,17.7,16.1,19.3,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2016,705,12.9,12.0,13.9,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2017,263,9.5,8.3,10.6,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2017,476,17.7,16.1,19.3,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2017,739,13.5,12.5,14.5,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2018,241,8.6,7.5,9.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2018,491,18.1,16.5,19.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2018,732,13.3,12.3,14.2,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2019,215,7.6,6.6,8.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2019,456,16.8,15.2,18.3,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2019,671,12.1,11.2,13.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2020,289,10.2,9.0,11.4,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2020,606,22.3,20.5,24.1,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2020,895,16.1,15.0,17.2,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2021,301,10.5,9.3,11.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2021,596,21.6,19.8,23.3,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2021,897,15.9,14.9,16.9,,,,,,,,,,,,,,,,,
E12000006,East,Females,2001,109,4.2,3.4,5.0,,,,,,,,,,,,,,,,,
E12000006,East,Males,2001,212,8.7,7.5,9.9,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2001,321,6.3,5.6,7.0,,,,,,,,,,,,,,,,,
E12000006,East,Females,2002,115,4.4,3.6,5.2,,,,,,,,,,,,,,,,,
E12000006,East,Males,2002,222,9.0,7.8,10.2,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2002,337,6.6,5.9,7.3,,,,,,,,,,,,,,,,,
E12000006,East,Females,2003,106,4.0,3.2,4.8,,,,,,,,,,,,,,,,,
E12000006,East,Males,2003,224,8.9,7.8,10.1,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2003,330,6.4,5.7,7.1,,,,,,,,,,,,,,,,,
E12000006,East,Females,2004,126,4.7,3.9,5.5,,,,,,,,,,,,,,,,,
E12000006,East,Males,2004,219,8.7,7.5,9.9,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2004,345,6.6,5.9,7.3,,,,,,,,,,,,,,,,,
E12000006,East,Females,2005,130,4.8,4.0,5.6,,,,,,,,,,,,,,,,,
E12000006,East,Males,2005,229,9.1,7.9,10.3,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2005,359,6.8,6.1,7.6,,,,,,,,,,,,,,,,,
E12000006,East,Females,2006,153,5.6,4.7,6.5,,,,,,,,,,,,,,,,,
E12000006,East,Males,2006,257,9.9,8.7,11.2,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2006,410,7.7,7.0,8.5,,,,,,,,,,,,,,,,,
E12000006,East,Females,2007,136,4.9,4.1,5.7,,,,,,,,,,,,,,,,,
E12000006,East,Males,2007,285,10.9,9.7,12.2,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2007,421,7.8,7.0,8.5,,,,,,,,,,,,,,,,,
E12000006,East,Females,2008,124,4.5,3.7,5.3,,,,,,,,,,,,,,,,,
E12000006,East,Males,2008,304,11.4,10.1,12.7,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2008,428,7.8,7.1,8.6,,,,,,,,,,,,,,,,,
E12000006,East,Females,2009,123,4.4,3.6,5.2,,,,,,,,,,,,,,,,,
E12000006,East,Males,2009,275,10.2,9.0,11.4,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2009,398,7.2,6.5,7.9,,,,,,,,,,,,,,,,,
E12000006,East,Females,2010,141,5.0,4.1,5.8,,,,,,,,,,,,,,,,,
E12000006,East,Males,2010,288,10.6,9.4,11.8,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2010,429,7.7,7.0,8.4,,,,,,,,,,,,,,,,,
E12000006,East,Females,2011,145,5.0,4.2,5.8,,,,,,,,,,,,,,,,,
E12000006,East,Males,2011,303,11.1,9.8,12.4,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2011,448,8.0,7.2,8.7,,,,,,,,,,,,,,,,,
E12000006,East,Females,2012,141,4.8,4.0,5.6,,,,,,,,,,,,,,,,,
E12000006,East,Males,2012,253,9.1,8.0,10.2,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2012,394,6.9,6.2,7.6,,,,,,,,,,,,,,,,,
E12000006,East,Females,2013,121,4.1,3.4,4.8,,,,,,,,,,,,,,,,,
E12000006,East,Males,2013,257,9.1,8.0,10.2,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2013,378,6.5,5.9,7.2,,,,,,,,,,,,,,,,,
E12000006,East,Females,2014,143,4.8,4.0,5.5,,,,,,,,,,,,,,,,,
E12000006,East,Males,2014,281,9.9,8.7,11.0,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2014,424,7.2,6.6,7.9,,,,,,,,,,,,,,,,,
E12000006,East,Females,2015,134,4.5,3.7,5.2,,,,,,,,,,,,,,,,,
E12000006,East,Males,2015,267,9.3,8.2,10.4,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2015,401,6.8,6.1,7.5,,,,,,,,,,,,,,,,,
E12000006,East,Females,2016,163,5.3,4.5,6.1,,,,,,,,,,,,,,,,,
E12000006,East,Males,2016,287,9.9,8.7,11.0,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2016,450,7.5,6.8,8.2,,,,,,,,,,,,,,,,,
E12000006,East,Females,2017,154,5.0,4.2,5.8,,,,,,,,,,,,,,,,,
E12000006,East,Males,2017,338,11.6,10.3,12.8,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2017,492,8.2,7.5,8.9,,,,,,,,,,,,,,,,,
E12000006,East,Females,2018,130,4.2,3.5,4.9,,,,,,,,,,,,,,,,,
E12000006,East,Males,2018,331,11.2,10.0,12.4,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2018,461,7.6,6.9,8.3,,,,,,,,,,,,,,,,,
E12000006,East,Females,2019,173,5.5,4.7,6.4,,,,,,,,,,,,,,,,,
E12000006,East,Males,2019,370,12.5,11.2,13.8,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2019,543,8.9,8.2,9.7,,,,,,,,,,,,,,,,,
E12000006,East,Females,2020,219,7.0,6.0,7.9,,,,,,,,,,,,,,,,,
E12000006,East,Males,2020,351,11.7,10.5,12.9,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2020,570,9.2,8.5,10.0,,,,,,,,,,,,,,,,,
E12000006,East,Females,2021,220,7.0,6.0,7.9,,,,,,,,,,,,,,,,,
E12000006,East,Males,2021,421,13.9,12.6,15.3,,,,,,,,,,,,,,,,,
E12000006,East,Persons,2021,641,10.4,9.5,11.2,,,,,,,,,,,,,,,,,
E12000007,London,Females,2001,135,4.7,3.9,5.5,,,,,,,,,,,,,,,,,
E12000007,London,Males,2001,385,14.3,12.9,15.8,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2001,520,9.2,8.4,10.1,,,,,,,,,,,,,,,,,
E12000007,London,Females,2002,147,4.9,4.1,5.7,,,,,,,,,,,,,,,,,
E12000007,London,Males,2002,365,13.3,11.8,14.7,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2002,512,8.9,8.1,9.6,,,,,,,,,,,,,,,,,
E12000007,London,Females,2003,157,5.5,4.6,6.3,,,,,,,,,,,,,,,,,
E12000007,London,Males,2003,373,13.9,12.4,15.3,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2003,530,9.5,8.7,10.4,,,,,,,,,,,,,,,,,
E12000007,London,Females,2004,128,4.3,3.5,5.1,,,,,,,,,,,,,,,,,
E12000007,London,Males,2004,361,12.8,11.4,14.2,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2004,489,8.4,7.6,9.1,,,,,,,,,,,,,,,,,
E12000007,London,Females,2005,139,4.7,3.9,5.5,,,,,,,,,,,,,,,,,
E12000007,London,Males,2005,352,12.9,11.5,14.3,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2005,491,8.6,7.9,9.4,,,,,,,,,,,,,,,,,
E12000007,London,Females,2006,123,4.1,3.3,4.8,,,,,,,,,,,,,,,,,
E12000007,London,Males,2006,417,14.6,13.1,16.0,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2006,540,9.1,8.3,9.9,,,,,,,,,,,,,,,,,
E12000007,London,Females,2007,135,4.3,3.5,5.0,,,,,,,,,,,,,,,,,
E12000007,London,Males,2007,330,11.7,10.4,13.0,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2007,465,7.8,7.0,8.5,,,,,,,,,,,,,,,,,
E12000007,London,Females,2008,144,4.6,3.8,5.4,,,,,,,,,,,,,,,,,
E12000007,London,Males,2008,379,12.9,11.5,14.2,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2008,523,8.6,7.8,9.4,,,,,,,,,,,,,,,,,
E12000007,London,Females,2009,142,4.3,3.6,5.1,,,,,,,,,,,,,,,,,
E12000007,London,Males,2009,347,11.5,10.2,12.8,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2009,489,7.8,7.1,8.5,,,,,,,,,,,,,,,,,
E12000007,London,Females,2010,158,4.9,4.1,5.6,,,,,,,,,,,,,,,,,
E12000007,London,Males,2010,389,12.8,11.4,14.1,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2010,547,8.7,7.9,9.4,,,,,,,,,,,,,,,,,
E12000007,London,Females,2011,133,3.9,3.2,4.6,,,,,,,,,,,,,,,,,
E12000007,London,Males,2011,345,11.3,10.0,12.5,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2011,478,7.4,6.7,8.1,,,,,,,,,,,,,,,,,
E12000007,London,Females,2012,144,4.3,3.6,5.1,,,,,,,,,,,,,,,,,
E12000007,London,Males,2012,369,12.1,10.8,13.4,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2012,513,8.1,7.4,8.8,,,,,,,,,,,,,,,,,
E12000007,London,Females,2013,143,4.2,3.5,4.9,,,,,,,,,,,,,,,,,
E12000007,London,Males,2013,344,10.9,9.7,12.1,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2013,487,7.4,6.8,8.1,,,,,,,,,,,,,,,,,
E12000007,London,Females,2014,157,4.5,3.8,5.3,,,,,,,,,,,,,,,,,
E12000007,London,Males,2014,389,12.2,10.9,13.5,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2014,546,8.2,7.5,8.9,,,,,,,,,,,,,,,,,
E12000007,London,Females,2015,137,3.8,3.1,4.4,,,,,,,,,,,,,,,,,
E12000007,London,Males,2015,385,11.8,10.6,13.1,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2015,522,7.6,6.9,8.3,,,,,,,,,,,,,,,,,
E12000007,London,Females,2016,168,4.6,3.9,5.3,,,,,,,,,,,,,,,,,
E12000007,London,Males,2016,410,12.1,10.9,13.3,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2016,578,8.2,7.5,8.9,,,,,,,,,,,,,,,,,
E12000007,London,Females,2017,169,4.6,3.9,5.3,,,,,,,,,,,,,,,,,
E12000007,London,Males,2017,382,11.3,10.1,12.5,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2017,551,7.8,7.1,8.5,,,,,,,,,,,,,,,,,
E12000007,London,Females,2018,142,3.8,3.2,4.5,,,,,,,,,,,,,,,,,
E12000007,London,Males,2018,419,12.2,11.0,13.4,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2018,561,7.8,7.2,8.5,,,,,,,,,,,,,,,,,
E12000007,London,Females,2019,172,4.5,3.8,5.2,,,,,,,,,,,,,,,,,
E12000007,London,Males,2019,407,11.6,10.4,12.8,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2019,579,7.9,7.3,8.6,,,,,,,,,,,,,,,,,
E12000007,London,Females,2020,194,5.0,4.3,5.8,,,,,,,,,,,,,,,,,
E12000007,London,Males,2020,543,15.1,13.8,16.4,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2020,737,9.9,9.2,10.7,,,,,,,,,,,,,,,,,
E12000007,London,Females,2021,225,5.8,5.0,6.6,,,,,,,,,,,,,,,,,
E12000007,London,Males,2021,568,14.8,13.6,16.1,,,,,,,,,,,,,,,,,
E12000007,London,Persons,2021,793,10.2,9.5,11.0,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2001,172,4.5,3.8,5.2,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2001,379,10.6,9.5,11.7,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2001,551,7.5,6.8,8.1,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2002,191,5.0,4.3,5.7,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2002,399,11.3,10.1,12.4,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2002,590,7.9,7.3,8.6,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2003,187,4.8,4.1,5.5,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2003,427,11.6,10.5,12.7,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2003,614,8.2,7.5,8.8,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2004,187,4.8,4.1,5.5,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2004,398,11.0,9.9,12.0,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2004,585,7.8,7.2,8.4,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2005,213,5.4,4.7,6.1,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2005,438,11.8,10.7,12.9,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2005,651,8.5,7.8,9.1,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2006,217,5.4,4.7,6.2,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2006,438,11.8,10.7,12.9,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2006,655,8.5,7.8,9.1,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2007,215,5.3,4.6,6.0,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2007,453,12.0,10.9,13.1,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2007,668,8.5,7.9,9.1,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2008,202,5.0,4.3,5.7,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2008,443,11.6,10.5,12.7,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2008,645,8.2,7.6,8.8,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2009,237,5.7,5.0,6.4,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2009,468,11.8,10.8,12.9,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2009,705,8.7,8.0,9.3,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2010,209,4.9,4.3,5.6,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2010,458,11.6,10.5,12.7,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2010,667,8.2,7.5,8.8,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2011,239,5.7,4.9,6.4,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2011,504,12.6,11.4,13.7,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2011,743,9.0,8.3,9.6,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2012,228,5.3,4.6,6.0,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2012,447,11.1,10.0,12.1,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2012,675,8.1,7.5,8.7,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2013,228,5.3,4.6,6.0,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2013,509,12.3,11.3,13.4,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2013,737,8.7,8.1,9.4,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2014,241,5.5,4.8,6.2,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2014,468,11.3,10.3,12.3,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2014,709,8.3,7.7,8.9,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2015,235,5.3,4.7,6.0,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2015,444,10.5,9.5,11.5,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2015,679,7.8,7.3,8.4,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2016,245,5.5,4.8,6.1,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2016,507,11.9,10.9,13.0,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2016,752,8.6,8.0,9.2,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2017,282,6.2,5.5,7.0,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2017,557,13.1,12.0,14.1,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2017,839,9.5,8.9,10.2,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2018,248,5.4,4.8,6.1,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2018,521,12.1,11.0,13.1,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2018,769,8.7,8.0,9.3,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2019,261,5.6,5.0,6.3,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2019,567,12.9,11.9,14.0,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2019,828,9.2,8.6,9.8,,,,,,,,,,,,,,,,,
E12000008,South East,Females,2020,347,7.5,6.7,8.3,,,,,,,,,,,,,,,,,
E12000008,South East,Males,2020,639,14.6,13.5,15.7,,,,,,,,,,,,,,,,,
E12000008,South East,Persons,2020,986,10.9,10.2,11.6,,,,,,,,,,,,,,,,,
