"Number of deaths and age-standardised mortality rates for deaths related to drug misuse, with an underlying cause of accidental poisoning or mental and behavioural disorders, by sex, country and region, England and Wales, registered between 1993 and 2021",,,,,,,,,,,,,,,,,,,,
,E12000009,,South West,188,37.0,,31.7,42.3,,146,57.8,,48.4,67.2,,42,16.4,,11.8,22.1
,W92000004,Wales,,90,30.7,,24.6,37.7,,69,47.3,,36.7,59.9,,21,14.2,,8.8,21.8
,,,,,,,,,,,,,,,,,,,,
2007,E92000001,England,,"1,336",24.8,,23.5,26.2,,"1,101",41.0,,38.6,43.5,,235,8.8,,7.6,9.9
,E12000001,,North East,83,32.5,,25.9,40.3,,68,53.7,,41.7,68.2,,15,11.7,,6.5,19.4
,E12000002,,North West,225,32.2,,28.0,36.4,,176,50.7,,43.2,58.2,,49,13.9,,10.3,18.4
,E12000003,,Yorkshire and the Humber,152,28.2,,23.7,32.8,,127,47.0,,38.8,55.2,,25,9.5,,6.1,14.1
,E12000004,,East Midlands,91,20.4,,16.4,25.1,,71,31.5,,24.6,39.8,,20,9.1,,5.5,14.0
,E12000005,,West Midlands,142,25.6,,21.3,29.8,,122,44.0,,36.2,51.8,,20,7.1,,4.4,11.0
,E12000006,,East,99,17.3,,14.1,21.1,,82,28.6,,22.8,35.6,,17,6.0,,3.5,9.6
,E12000007,,London,188,21.0,,17.9,24.2,,162,36.6,,30.7,42.5,,26,5.8,,3.8,8.6
,E12000008,,South East,205,24.0,,20.7,27.3,,162,38.7,,32.7,44.7,,43,9.8,,7.1,13.2
,E12000009,,South West,151,30.4,,25.5,35.2,,131,53.1,,44.0,62.2,,20,7.7,,4.7,11.9
,W92000004,Wales,,98,33.5,,27.1,40.8,,76,52.1,,41.0,65.2,,22,15.2,,9.5,23.1
,,,,,,,,,,,,,,,,,,,,
2006,E92000001,England,,"1,198",22.3,,21.0,23.6,,986,36.8,,34.5,39.1,,212,8.0,,6.9,9.1
,E12000001,,North East,80,30.7,,24.3,38.2,,69,53.4,,41.4,67.6,,11,8.4,,4.2,15.0
,E12000002,,North West,227,32.1,,28.0,36.3,,180,51.3,,43.8,58.8,,47,13.3,,9.8,17.8
,E12000003,,Yorkshire and the Humber,145,27.5,,23.0,32.0,,123,46.7,,38.4,54.9,,22,8.4,,5.2,12.7
,E12000004,,East Midlands,73,16.4,,12.9,20.7,,62,28.1,,21.5,36.1,,11,5.1,,2.5,9.1
,E12000005,,West Midlands,110,20.1,,16.3,23.8,,94,34.8,,28.0,42.8,,16,5.9,,3.3,9.5
,E12000006,,East,78,13.7,,10.8,17.1,,68,24.0,,18.6,30.4,,10,3.5,,1.7,6.5
,E12000007,,London,202,23.0,,19.7,26.2,,163,36.2,,30.4,41.9,,39,9.7,,6.8,13.4
,E12000008,,South East,163,19.1,,16.2,22.1,,129,30.5,,25.2,35.8,,34,7.9,,5.4,11.0
,E12000009,,South West,120,24.0,,19.7,28.3,,98,39.3,,31.9,47.9,,22,8.8,,5.5,13.3
,W92000004,Wales,,81,27.3,,21.7,34.0,,69,47.3,,36.8,59.9,,12,7.8,,4.0,13.7
,,,,,,,,,,,,,,,,,,,,
2005,E92000001,England,,"1,228",22.9,,21.6,24.2,,"1,011",37.8,,35.4,40.1,,217,8.1,,7.0,9.2
,E12000001,,North East,68,26.3,,20.4,33.3,,61,48.1,,36.7,61.8,,7,5.1,,2.1,10.6
,E12000002,,North West,185,26.4,,22.6,30.2,,141,40.8,,34.0,47.5,,44,12.6,,9.1,16.9
,E12000003,,Yorkshire and the Humber,163,30.5,,25.8,35.2,,142,53.3,,44.5,62.1,,21,7.8,,4.8,11.9
,E12000004,,East Midlands,77,17.7,,13.9,22.1,,62,28.9,,22.1,37.1,,15,6.6,,3.7,11.0
,E12000005,,West Midlands,118,21.1,,17.3,24.9,,100,35.8,,28.8,42.8,,18,6.4,,3.8,10.1
,E12000006,,East,105,18.4,,14.9,22.0,,88,30.9,,24.7,38.0,,17,5.9,,3.5,9.5
,E12000007,,London,200,22.9,,19.6,26.2,,158,35.5,,29.7,41.2,,42,10.3,,7.3,14.0
,E12000008,,South East,180,21.2,,18.1,24.3,,147,34.8,,29.2,40.5,,33,7.8,,5.3,10.9
,E12000009,,South West,132,26.4,,21.9,30.9,,112,44.9,,36.6,53.3,,20,7.9,,4.8,12.3
,W92000004,Wales,,69,23.7,,18.5,30.1,,59,41.0,,31.2,52.9,,10,6.8,,3.3,12.6
,,,,,,,,,,,,,,,,,,,,
2004,E92000001,England,,"1,141",21.4,,20.1,22.6,,950,35.7,,33.4,38.0,,191,7.2,,6.1,8.2
,E12000001,,North East,59,22.7,,17.3,29.3,,47,36.9,,27.1,49.2,,12,8.9,,4.6,15.5
,E12000002,,North West,187,26.3,,22.5,30.1,,157,44.5,,37.5,51.5,,30,8.4,,5.7,12.1
,E12000003,,Yorkshire and the Humber,162,30.8,,26.0,35.5,,135,51.8,,43.0,60.6,,27,10.0,,6.6,14.6
,E12000004,,East Midlands,83,18.6,,14.8,23.1,,70,31.5,,24.5,39.8,,13,5.8,,3.1,10.0
,E12000005,,West Midlands,108,19.6,,15.9,23.3,,96,34.8,,28.2,42.5,,12,4.4,,2.3,7.7
,E12000006,,East,97,17.1,,13.9,20.9,,78,27.5,,21.8,34.4,,19,6.8,,4.1,10.7
,E12000007,,London,149,17.3,,14.4,20.2,,122,28.4,,23.1,33.8,,27,6.3,,4.1,9.2
,E12000008,,South East,185,22.0,,18.8,25.2,,154,36.8,,31.0,42.6,,31,7.1,,4.9,10.2
,E12000009,,South West,111,22.4,,18.2,26.6,,91,37.2,,29.8,45.7,,20,7.9,,4.8,12.3
,W92000004,Wales,,49,17.4,,12.8,23.0,,43,31.1,,22.5,41.9,,6,3.9,,1.4,8.6
,,,,,,,,,,,,,,,,,,,,
2003,E92000001,England,,"1,051",19.7,,18.5,20.9,,859,32.2,,30.0,34.4,,192,7.3,,6.3,8.4
,E12000001,,North East,59,22.4,,17.0,28.9,,45,34.9,,25.4,46.8,,14,10.4,,5.7,17.4
,E12000002,,North West,176,25.1,,21.4,28.8,,143,40.8,,34.1,47.5,,33,9.6,,6.6,13.5
,E12000003,,Yorkshire and the Humber,155,29.5,,24.8,34.2,,122,46.9,,38.6,55.2,,33,12.5,,8.6,17.6
,E12000004,,East Midlands,75,17.1,,13.4,21.4,,70,32.0,,24.9,40.4,,5,2.3,,0.7,5.4
,E12000005,,West Midlands,103,18.7,,15.0,22.3,,90,32.6,,26.2,40.1,,13,4.7,,2.5,8.1
,E12000006,,East,95,16.7,,13.5,20.5,,74,26.1,,20.4,32.7,,21,7.4,,4.6,11.4
,E12000007,,London,146,16.4,,13.7,19.2,,122,27.6,,22.4,32.7,,24,5.5,,3.4,8.2
,E12000008,,South East,124,14.6,,12.0,17.2,,95,22.5,,18.2,27.5,,29,6.8,,4.5,9.7
,E12000009,,South West,118,23.9,,19.6,28.2,,98,40.0,,32.4,48.7,,20,8.0,,4.9,12.3
,W92000004,Wales,,92,31.5,,25.4,38.7,,77,53.0,,41.8,66.3,,15,10.4,,5.8,17.2
,,,,,,,,,,,,,,,,,,,,
2002,E92000001,England,,"1,193",22.4,,21.1,23.7,,988,36.9,,34.6,39.2,,205,7.8,,6.7,8.9
,E12000001,,North East,89,33.9,,27.2,41.8,,71,54.6,,42.6,69.0,,18,13.4,,7.9,21.2
,E12000002,,North West,183,26.1,,22.3,29.9,,151,43.2,,36.3,50.2,,32,9.2,,6.3,13.0
,E12000003,,Yorkshire and the Humber,160,30.2,,25.5,34.9,,134,51.4,,42.7,60.1,,26,9.5,,6.2,13.9
,E12000004,,East Midlands,100,22.9,,18.4,27.4,,82,37.2,,29.6,46.2,,18,8.6,,5.1,13.6
,E12000005,,West Midlands,104,19.1,,15.4,22.8,,88,32.2,,25.8,39.6,,16,5.9,,3.4,9.6
,E12000006,,East,117,20.6,,16.9,24.4,,95,33.2,,26.8,40.6,,22,7.9,,4.9,11.9
,E12000007,,London,152,17.1,,14.3,20.0,,124,27.1,,22.2,32.1,,28,6.9,,4.5,10.1
,E12000008,,South East,164,19.7,,16.7,22.8,,134,32.0,,26.6,37.5,,30,7.4,,5.0,10.6
,E12000009,,South West,124,25.4,,20.9,29.9,,109,44.7,,36.3,53.1,,15,6.2,,3.5,10.3
,W92000004,Wales,,72,25.0,,19.5,31.5,,62,43.7,,33.5,56.1,,10,6.9,,3.3,12.7
,,,,,,,,,,,,,,,,,,,,
2001,E92000001,England,,"1,351",25.4,,24.0,26.7,,"1,132",42.5,,40.0,45.0,,219,8.4,,7.3,9.5
,E12000001,,North East,88,33.5,,26.8,41.3,,79,60.2,,47.6,75.0,,9,7.1,,3.2,13.4
,E12000002,,North West,225,31.8,,27.6,35.9,,186,53.2,,45.5,60.8,,39,11.0,,7.8,15.1
,E12000003,,Yorkshire and the Humber,165,31.4,,26.6,36.2,,137,52.6,,43.8,61.5,,28,10.6,,7.0,15.3
,E12000004,,East Midlands,82,18.7,,14.9,23.2,,69,31.4,,24.4,39.7,,13,6.0,,3.2,10.2
,E12000005,,West Midlands,114,21.3,,17.4,25.2,,99,37.5,,30.2,46.1,,15,5.6,,3.1,9.2
,E12000006,,East,121,21.3,,17.5,25.2,,103,36.1,,29.1,43.0,,18,6.6,,3.9,10.4
,E12000007,,London,227,25.9,,22.4,29.4,,184,42.1,,35.8,48.4,,43,9.8,,7.0,13.3
,E12000008,,South East,183,21.6,,18.5,24.8,,152,35.9,,30.2,41.7,,31,7.5,,5.1,10.7
,E12000009,,South West,146,29.7,,24.9,34.6,,123,50.0,,41.2,58.9,,23,9.4,,5.9,14.1
,W92000004,Wales,,82,28.6,,22.7,35.5,,69,48.7,,37.9,61.7,,13,9.2,,4.9,15.7
,,,,,,,,,,,,,,,,,,,,
2000,E92000001,England,,"1,213",22.8,,21.5,24.1,,"1,045",39.3,,36.9,41.7,,168,6.4,,5.4,7.4
,E12000001,,North East,45,16.9,,12.3,22.6,,34,26.0,,18.0,36.3,,11,8.0,,4.0,14.3
,E12000002,,North West,206,28.4,,24.5,32.3,,184,51.3,,43.9,58.7,,22,6.1,,3.8,9.3
,E12000003,,Yorkshire and the Humber,166,31.4,,26.6,36.2,,148,56.3,,47.2,65.4,,18,6.8,,4.0,10.8
,E12000004,,East Midlands,74,17.0,,13.3,21.3,,66,30.0,,23.2,38.2,,8,3.8,,1.6,7.5
,E12000005,,West Midlands,113,20.8,,16.9,24.7,,99,36.2,,29.4,44.1,,14,5.2,,2.9,8.8
,E12000006,,East,103,18.2,,14.6,21.7,,80,28.1,,22.2,35.0,,23,8.2,,5.2,12.4
,E12000007,,London,216,25.4,,21.9,28.9,,182,42.7,,36.3,49.2,,34,8.3,,5.7,11.7
,E12000008,,South East,175,20.9,,17.8,24.0,,150,35.7,,29.9,41.4,,25,6.0,,3.9,8.9
,E12000009,,South West,115,23.3,,19.0,27.6,,102,41.6,,33.5,49.7,,13,4.9,,2.6,8.4
,W92000004,Wales,,64,21.7,,16.7,27.7,,57,39.2,,29.7,50.8,,7,4.5,,1.8,9.3
,,,,,,,,,,,,,,,,,,,,
1999,E92000001,England,,"1,247",23.4,,22.1,24.7,,"1,055",39.6,,37.2,42.0,,192,7.3,,6.3,8.4
,E12000001,,North East,37,13.9,,9.8,19.1,,33,24.9,,17.2,35.0,,4,3.1,,0.8,7.9
,E12000002,,North West,202,27.9,,24.0,31.7,,162,45.1,,38.1,52.0,,40,11.0,,7.8,15.0
,E12000003,,Yorkshire and the Humber,170,32.4,,27.5,37.3,,147,55.8,,46.8,64.9,,23,9.0,,5.7,13.5
,E12000004,,East Midlands,73,16.5,,12.9,20.7,,65,29.3,,22.6,37.4,,8,3.5,,1.5,6.9
,E12000005,,West Midlands,107,19.2,,15.5,22.8,,90,31.9,,25.6,39.2,,17,6.1,,3.6,9.8
,E12000006,,East,124,22.1,,18.2,26.0,,99,34.9,,28.3,42.7,,25,9.6,,6.2,14.2
,E12000007,,London,258,29.7,,25.9,33.4,,213,49.3,,42.4,56.3,,45,10.8,,7.8,14.6
,E12000008,,South East,140,16.6,,13.9,19.4,,124,29.4,,24.2,34.6,,16,3.9,,2.2,6.4
,E12000009,,South West,136,27.2,,22.6,31.8,,122,48.7,,40.0,57.4,,14,5.6,,3.0,9.4
,W92000004,Wales,,57,19.2,,14.5,24.9,,40,27.3,,19.5,37.2,,17,11.3,,6.6,18.1
,,,,,,,,,,,,,,,,,,,,
1998,E92000001,England,,"1,112",20.9,,19.6,22.1,,926,34.8,,32.5,37.0,,186,7.1,,6.0,8.1
,E12000001,,North East,41,15.2,,10.9,20.7,,32,23.5,,16.0,33.2,,9,7.0,,3.2,13.3
,E12000002,,North West,164,22.4,,19.0,25.9,,135,37.0,,30.7,43.3,,29,7.9,,5.3,11.3
,E12000003,,Yorkshire and the Humber,165,30.9,,26.1,35.6,,141,52.8,,44.1,61.6,,24,9.1,,5.8,13.5
,E12000004,,East Midlands,63,14.2,,10.9,18.2,,51,22.9,,17.0,30.2,,12,5.5,,2.8,9.6
,E12000005,,West Midlands,70,12.7,,9.9,16.0,,54,19.2,,14.4,25.1,,16,6.1,,3.5,9.9
,E12000006,,East,93,16.4,,13.2,20.1,,83,29.2,,23.2,36.3,,10,3.6,,1.7,6.6
,E12000007,,London,279,32.4,,28.5,36.3,,228,53.7,,46.5,60.9,,51,11.8,,8.7,15.6
,E12000008,,South East,145,17.1,,14.3,19.9,,126,29.4,,24.2,34.6,,19,4.6,,2.8,7.2
,E12000009,,South West,92,18.7,,15.0,22.9,,76,30.9,,24.3,38.8,,16,6.4,,3.6,10.4
,W92000004,Wales,,42,14.4,,10.4,19.5,,33,22.4,,15.4,31.5,,9,5.9,,2.7,11.3
,,,,,,,,,,,,,,,,,,,,
1997,E92000001,England,,961,18.1,,16.9,19.2,,818,30.7,,28.6,32.8,,143,5.5,,4.6,6.4
,E12000001,,North East,27,10.0,,6.6,14.5,,22,15.8,,9.9,23.9,,5,4.1,,1.3,9.7
,E12000002,,North West,192,26.0,,22.3,29.7,,162,43.8,,37.0,50.6,,30,8.2,,5.5,11.7
,E12000003,,Yorkshire and the Humber,109,20.3,,16.5,24.2,,98,36.4,,29.5,44.4,,11,4.2,,2.1,7.4
,E12000004,,East Midlands,45,10.3,,7.5,13.8,,39,17.5,,12.4,24.0,,6,3.0,,1.1,6.4
,E12000005,,West Midlands,46,8.3,,6.1,11.1,,37,13.2,,9.3,18.2,,9,3.3,,1.5,6.4
,E12000006,,East,99,17.6,,14.3,21.5,,85,30.5,,24.2,37.9,,14,5.0,,2.7,8.4
,E12000007,,London,221,25.7,,22.2,29.2,,188,44.3,,37.8,50.8,,33,7.8,,5.3,11.1
,E12000008,,South East,126,14.8,,12.2,17.4,,102,24.0,,19.3,28.6,,24,5.5,,3.5,8.2
,E12000009,,South West,96,19.6,,15.8,23.9,,85,34.2,,27.3,42.4,,11,4.6,,2.3,8.3
,W92000004,Wales,,46,15.2,,11.1,20.3,,38,25.2,,17.8,34.6,,8,5.1,,2.2,10.0
,,,,,,,,,,,,,,,,,,,,
1996,E92000001,England,,853,15.8,,14.7,16.8,,723,26.9,,24.9,28.9,,130,4.9,,4.0,5.7
,E12000001,,North East,25,9.1,,5.9,13.4,,22,16.1,,10.1,24.5,,3,2.2,,0.4,6.4
,E12000002,,North West,191,25.5,,21.9,29.1,,161,43.2,,36.4,49.9,,30,8.2,,5.5,11.7
,E12000003,,Yorkshire and the Humber,93,17.4,,14.0,21.4,,79,29.6,,23.2,37.1,,14,5.4,,2.9,9.1
,E12000004,,East Midlands,39,8.5,,6.1,11.7,,33,14.1,,9.7,19.8,,6,2.8,,1.0,6.2
,E12000005,,West Midlands,53,9.5,,7.1,12.5,,44,16.2,,11.6,21.8,,9,3.2,,1.4,6.0
,E12000006,,East,67,11.7,,9.1,14.9,,57,19.5,,14.7,25.3,,10,3.7,,1.7,6.8
,E12000007,,London,174,19.5,,16.5,22.5,,142,32.5,,26.9,38.0,,32,7.0,,4.7,10.0
,E12000008,,South East,120,14.0,,11.5,16.5,,104,24.2,,19.5,28.9,,16,3.8,,2.2,6.2
,E12000009,,South West,91,18.1,,14.5,22.2,,81,32.6,,25.8,40.7,,10,4.0,,1.9,7.3
,W92000004,Wales,,29,9.3,,6.2,13.4,,25,15.8,,10.2,23.4,,4,2.8,,0.7,7.1
,,,,,,,,,,,,,,,,,,,,
1995,E92000001,England,,767,14.3,,13.3,15.3,,647,24.0,,22.1,25.9,,120,4.6,,3.8,5.4
,E12000001,,North East,21,7.3,,4.5,11.2,,18,12.5,,7.4,19.8,,3,2.2,,0.4,6.4
,E12000002,,North West,174,23.0,,19.5,26.4,,150,39.6,,33.2,46.0,,24,6.4,,4.1,9.6
,E12000003,,Yorkshire and the Humber,83,15.5,,12.3,19.2,,70,25.9,,20.1,32.8,,13,4.9,,2.6,8.5
,E12000004,,East Midlands,34,7.6,,5.3,10.7,,25,11.0,,7.1,16.3,,9,4.2,,1.9,7.9
,E12000005,,West Midlands,58,10.3,,7.8,13.4,,46,15.9,,11.6,21.3,,12,4.7,,2.4,8.3
,E12000006,,East,73,13.3,,10.4,16.7,,65,23.3,,18.0,29.8,,8,3.0,,1.3,5.9
,E12000007,,London,164,19.5,,16.4,22.6,,140,33.7,,27.9,39.4,,24,5.7,,3.6,8.7
,E12000008,,South East,95,11.0,,8.9,13.5,,78,18.0,,14.2,22.5,,17,3.9,,2.2,6.2
,E12000009,,South West,65,13.1,,10.1,16.7,,55,21.5,,16.2,28.1,,10,4.4,,2.1,8.2
,W92000004,Wales,,32,10.5,,7.2,14.8,,24,15.7,,10.0,23.4,,8,5.2,,2.3,10.3
,,,,,,,,,,,,,,,,,,,,
1994,E92000001,England,,662,12.4,,11.5,13.4,,546,20.3,,18.6,22.1,,116,4.6,,3.7,5.4
,E12000001,,North East,18,6.4,,3.8,10.2,,14,9.9,,5.4,16.8,,4,3.0,,0.8,7.8
,E12000002,,North West,174,23.0,,19.6,26.5,,147,38.1,,31.9,44.2,,27,7.9,,5.2,11.5
,E12000003,,Yorkshire and the Humber,53,9.7,,7.3,12.8,,44,15.9,,11.5,21.4,,9,3.5,,1.6,6.6
,E12000004,,East Midlands,27,6.1,,4.0,8.9,,23,10.1,,6.4,15.1,,4,1.9,,0.5,4.8
,E12000005,,West Midlands,38,6.9,,4.8,9.4,,33,11.8,,8.1,16.6,,5,1.8,,0.6,4.3
,E12000006,,East,56,10.3,,7.8,13.5,,46,17.2,,12.4,23.3,,10,3.6,,1.7,6.6
,E12000007,,London,182,21.9,,18.6,25.3,,149,36.0,,30.0,42.1,,33,8.5,,5.7,12.0
,E12000008,,South East,68,8.1,,6.3,10.3,,51,12.0,,8.9,15.8,,17,4.1,,2.4,6.5
,E12000009,,South West,46,9.1,,6.6,12.1,,39,15.2,,10.8,20.8,,7,2.9,,1.1,5.9
,W92000004,Wales,,23,7.9,,5.0,11.8,,18,11.9,,7.0,18.8,,5,3.9,,1.2,9.0
,,,,,,,,,,,,,,,,,,,,
1993,E92000001,England,,494,9.3,,8.5,10.1,,383,14.2,,12.8,15.7,,111,4.4,,3.6,5.2
,E12000001,,North East,7,2.7,,1.1,5.6,,2,1.3,,0.2,4.6,,5,3.8,,1.2,8.9
,E12000002,,North West,96,12.7,,10.3,15.6,,81,21.5,,17.1,26.8,,15,3.9,,2.2,6.5
,E12000003,,Yorkshire and the Humber,43,8.0,,5.8,10.8,,36,13.2,,9.2,18.4,,7,2.7,,1.1,5.7
,E12000004,,East Midlands,19,4.5,,2.7,7.1,,13,5.8,,3.1,10.0,,6,3.0,,1.1,6.5
,E12000005,,West Midlands,42,7.8,,5.6,10.6,,31,11.1,,7.5,15.8,,11,4.3,,2.1,7.8
,E12000006,,East,33,6.0,,4.1,8.4,,20,6.9,,4.2,10.6,,13,5.1,,2.7,8.8
,E12000007,,London,158,18.2,,15.2,21.1,,120,27.2,,22.2,32.3,,38,9.3,,6.5,12.8
,E12000008,,South East,59,6.9,,5.3,9.0,,50,11.9,,8.7,15.9,,9,2.2,,1.0,4.2
,E12000009,,South West,37,7.7,,5.4,10.6,,30,12.5,,8.4,17.8,,7,2.9,,1.2,6.1
,W92000004,Wales,,22,7.0,,4.4,10.7,,20,13.0,,7.9,20.1,,2,1.2,,0.1,4.4
